;platform;title;description;keywords;htext;params;category;wiki;alltext;jscheck;docscheck;blogscheck;commcheck
9;www.metaltoad.com;Home | Metal Toad; ; ;Enterprise-class Web, Mobile, & Cloud Solutions Enterprise-class Web, Mobile, & Cloud Solutions Main navigation ;/blog/javascript-understanding-objects-vs-arrays-and-when-use-them-part-1;;;  toad part metal javascript class understanding navigation objects use cloud mobile blog arrays solutions home main web enterprise vs;0;0;0;0
10;alan.blog-city.com; ; ; ; ;/jquerylinedtextarea.htm;;;  htm jquerylinedtextarea;0;0;0;0
11;demo.wp-api.org;WP REST API Demo – Just another WP API Demo Sites site; ; ;Just another WP API Demo Sites site WP REST API Demo Posts ;/wp-json/;;;  demo json sites another wp rest posts site api;0;0;0;0
12;engineering.cerner.com; ; ; ; ;/blog/closures-and-currying-in-javascript/;;Cerner Corporation is an American supplier of health information technology (HIT) solutions, services, devices and hardware. As of April 2015 its products were in use in approximately 18,000 facilities around the world and the company had about 22,000 employees globally.;  closures blog javascript currying;0;0;0;0
13;www.albertgao.xyz; ; ; ; ;/2016/08/25/why-not-making-functions-within-a-loop-in-javascript/;;;  within loop functions javascript making;0;0;0;0
14;www.pythontutor.com;403 Forbidden; ; ;'You don''t have permission to access /index.html
on this server. Forbidden ';/javascript;;;  html forbidden access index javascript server permission;0;0;0;0
15;processingjs.org; ; ; ; ;/reference/String_equals_/;;Processing.js is a JavaScript port of Processing, a programming language designed to write visualizations, images, and interactive content. It allows web browsers to display animations, visual applications, games and other graphical rich content without the need for a Java applet or Flash plugin.;  equals reference string;1;0;0;0
16;forum.jquery.com;jQuery Forum;jQuery Support Portal;jQuery Support Portal;© 2013 jQuery Foundation jQuery Forum ;/topic/getjson-in-a-for-loop;;jQuery Mobile is a touch-optimized web framework (also known as a mobile framework), more specifically a JavaScript library, currently being developed by the jQuery project team. The development focuses on creating a framework compatible with a wide variety of smartphones and tablet computers, made necessary by the growing but heterogeneous tablet and smartphone market. The jQuery Mobile framework is compatible with other mobile app frameworks and platforms such as PhoneGap, Worklight and more.;  forum portal support jquery getjson topic loop foundation;0;0;0;1
17;gist.githubusercontent.com;Create a new Gist · GitHub;GitHub is where people build software. More than 23 million people use GitHub to discover, fork, and contribute to over 64 million projects.; ;Drop one or more files here to prefill your gist! Instantly share code, notes, and snippets. ;'/dmakk767/9375ff01aff76f1788aead1df9a66338/raw/491f8c2e91b7d3b8f1c8230e32d9c9bc1a1adfa6/Quotes.json%2520&quot;,function(json){';;;  json one projects raw dmakk767 share notes create quotes contribute use snippets files build people million code drop new quot function software discover github instantly gist prefill fork;0;0;0;0
18;mysolaris.xyz; ; ; ; ;/js/custom-slider.js;;;  custom js slider;0;0;0;0
19;speakingjs.com; ; ; ; ;/es5/;;;  es5;1;0;0;0
20;twittercommunity.com;Twitter Developers;Discussion forums for developers using the Twitter platform and APIs; ;Powered by Discourse, best viewed with JavaScript enabled Twitter Developers ;/t/accounting-for-dom-changes-in-js-widget/90578;;;  accounting javascript widget platform twitter apis changes using best dom developers discussion powered enabled js viewed forums discourse;0;0;0;0
21;vstark.net; ; ; ; ;/2014/10/18/jade-vs-html/;;;  html jade vs;0;0;0;0
22;www.jquery-az.com; ; ; ; ;/bootstrap-container-and-container-fluid-what-is-the-difference/;;;  difference container fluid bootstrap;0;0;0;0
23;ejs.co; ; ; ; ;/;;; ;0;0;0;0
24;www.totaljs.com;Framework, websites, applications, REST, IoT, e-commerce in Node.js - Total.js;'Total.js platform is a family of helpful things. It contains server-side framework, client-side framework with a lot of completed products. It''s time to switch to Total.js and create awesome projects';framework,Total.js,Node.js,IoT,REST,ecommerce,industry,realtime,platform;Total.js is full-featured server-side framework which effectively improves the most important aspects of your project during its lifetime. Super fast development, extremely low maintenance costs, rock solid stability, incredible performance and easy scaling. Node.js framework Total.js framework features ;/;;;  low completed projects things client framework products development helpful important iot maintenance awesome side industry family platform switch create commerce project solid easy node full super ecommerce rest total e effectively lot websites incredible applications contains features time scaling server extremely lifetime improves costs realtime fast stability js rock performance aspects featured;1;0;0;0
25;pbcs.us;Palm Beach Code School - Learn To Code;Start Your New Career Today! We Provide: Hands-On Instruction • Job Placement Assistance • Affordable Tuition • Small Group Classes; ;'Classes meet Monday and Wednesday mornings from 9:30am to 1pm for 16 weeks. 
Learn to code
 
Start Your New Career Today
 ';/~falcantara/projects/jquery/;;;  job projects weeks meet palm monday tuition small beach school placement falcantara start assistance career classes code jquery affordable new hands mornings provide instruction today group learn wednesday;0;0;0;0
26;www.eloquentjavascript.net; ; ; ; ;;;; ;0;0;0;0
27;learncssgrid.com; ; ; ; ;/;;; ;0;0;0;0
28;codefights.com;CodeFights | Practice Programming;Practice Programming; ; ;/arcade/intro/level-5/veW5xJednTy4qcjso;;CodeFights is an American technology company that applies game mechanics to online computer programming challenges for both instructional and recruiting purposes. In November 2016, CodeFights reported that it has 500,000 registered users, the majority of whom are in the United States.;  arcade programming vew5xjednty4qcjso practice intro level codefights;0;0;0;0
29;makecode.com;Microsoft MakeCode - Home Page;A JavaScript Blocks Editor; ;'
							Microsoft MakeCode brings computer science to life for all students with fun projects, immediate results, and both block
							and text editors for learners at different levels.
						 
				Microsoft MakeCode
			 Hands-on computing education ';/_1VXHtmLfLaL3;;;  brings editors projects blocks text science computing javascript education learners results block levels life microsoft makecode computer immediate page hands different editor fun home students;0;0;0;0
30;www.colr.org; ; ; ; ;/json/colors/random/7;;;  json colors random;0;0;0;0
31;www.alexkras.com;Alex Kras – Software Development, Business, and Data;Software Development, Business, and Data; ;Alex Kras Archive All Posts ;/reverse-engineering-one-line-of-javascript/;;;  alex archive one line business development reverse engineering posts javascript data software kras;0;0;0;0
32;pietschsoft.com; ; ; ; ;/post/2015/09/05/JavaScript-Basics-How-to-create-a-Dictionary-with-KeyValue-pairs;;;  dictionary keyvalue post javascript pairs basics create;0;0;0;0
33;webmasters.stackexchange.com;Webmasters Stack Exchange;Q&A for pro webmasters; ;'Get the weekly newsletter! In it, you''ll get: Explore Our Questions ';/questions/8525/how-do-i-open-the-javascript-console-in-different-browsers;;Stack Exchange is a network of question-and-answer websites on topics in varied fields, each site covering a specific topic, where questions, answers, and users are subject to a reputation award process. The sites are modelled after Stack Overflow, a Q&A site for computer programming questions that was the original site in this network. The reputation system allows the sites to be self-moderating. As of April 2017, the three most popular sites in the network are: Stack Overflow, Super User and Ask Ubuntu. User contributions are licensed under Creative Commons Attribution-ShareAlike 3.0 Unported.;  console stack webmasters open javascript q get questions weekly different newsletter explore exchange browsers pro;0;0;0;0
